INT	STRING	STRING	STRING	STRING	STRING	STRING
题目ID	题目	正确答案	错误答案1	错误答案2	错误答案3	错误答案4
0	游戏目前一共有几个职业？	3	4	5	2	6
1	哪一座名关被称为天下第一关？	山海关	居庸关	雁门关	潼关	平型关
2	中华人民共和国国旗五星红旗的设计者是？	曾联松	聂耳	田汉	林语堂	鲁迅
3	世界上使用人数最多的语言是？	汉语	英语	法语	西班牙语	葡萄牙语
4	供给人机体热能的最主要营养物质是？	糖	蛋白质	钠	水	脂肪
5	泼水节是我国哪个少数民族的传统节日？	傣族	阿昌族	苗族	白族	壮族
6	贫血主要原因是人体内缺少哪一种元素？	铁	锌	钙	维生素	蛋白质
7	山城是我国哪座城市的雅号？	重庆	成都	香港	泰安	华阳
8	我国面积最大的湖泊是？	青海湖	洪湖	巢湖	洞庭湖	鄱阳湖
9	世界国土面积最小的国家是？	梵蒂冈	列支敦士登	日本	安道尔	中国
10	五岳中哪座称南岳？	衡山	石景山	华山	恒山	泰山
11	我国古代项羽破釜沉舟战胜秦军是在哪次战役？	巨鹿之战	淝水之战	赤壁之战	官渡之战	涿鹿之战
12	哪次著名战役确立了三国鼎立局面？	赤壁之战	官渡之战	牧野之战	巨鹿之战	襄阳之战
13	比喻变被动为主动是三十六计中的哪一计？	反客为主	走为上计	趁火打劫	美人计	苦肉计
14	第二次世界大战中死亡人数最多的国家是？	苏联	中国	日本	美国	意大利
15	美国军用飞机编号F的含义是指哪类型飞机？	战斗机	轰炸机	侦察机	运输机	加油机
16	我国古代三十六计中第36计是？	走为上计	无中生有	趁火打劫	反客为主	举一反三
17	成语闻鸡起舞中流击楫是出自哪位古代将领的故事？	祖逖	苻坚	曹操	刘备	伍子胥
18	左轮手枪一共可装几颗子弹？	6	5	7	9	4
19	第二次世界大战是哪一年爆发的？	1939	1942	1945	1921	1927
20	中国近代史上第一个不平等条约是？	南京条约	马关条约	辛丑条约	尼布楚条约	北京条约
21	我国唯一的两个皇帝合葬在一起的是唐高宗跟？	武则天	杨贵妃	慈禧	西施	王昭君
22	中国近代史第一次鸦片战争是哪一年开始的？	1840	1848	1919	1921	1931
23	标志着抗日战争爆发的卢沟桥事变是在哪一年？	1937	1934	1927	1921	1998
24	著名通讯社路透社是哪一个国家的通讯社？	英国	法国	美国	意大利	俄罗斯
25	著名书籍《物种起源》一书是谁所著？	达尔文	巴斯德	魏源	特斯拉	爱迪生
26	我国第一部纪传体通史是？	史记	东周列国志	三国演义	水浒传	资治通鉴
27	世界人口大国中除中国外还有哪个国家的人口超10亿？	印度	日本	英国	澳大利亚	巴西
28	《威尼斯商人》中的吝啬鬼形象人物是？	夏洛克	华生	葛朗台	石亨	阿巴贡
29	悲剧《窦娥冤》是谁所著？	关汉卿	马致远	张养浩	孔尚任	王实甫
30	莎士比亚四大悲剧中哪部又称"王子复仇记"？	哈姆雷特	李尔王	麦克白	罗密欧与朱丽叶	奥赛罗
31	著名琴曲歌辞《胡笳十八拍》是谁的作品?	蔡文姬	西施	貂蝉	王昭君	张春华
